Code,Name,VIX name,Easting,Northing,Latitude,Longitude
2323,Gorey Common S,Gorey Common ,47290,66533,49.1937825005,-2.0349828398
2324,La Piece Mauger S,La Piece Mauger ,44895,69943,49.2244679288,-2.0678001284
2325,Jersey Aero Club E,Jersey Aero Club ,36512,67902,49.2061255337,-2.1828664832
2326,Jersey Airport,Jersey Airport,35655,67880,49.205922244,-2.1946270122
2327,Airport Garages S,Airport Garages ,35552,67337,49.201039015,-2.1960344848
2328,Albert Place S,Albert Place ,41582,65249,49.18228,-2.113304
2329,Albert Place N,Albert Place ,41568,65255,49.18234,-2.1135
2342,Greve d'Azette E,Greve d'Azette ,43667,63816,49.1693843145,-2.0847143137
2343,Bellozanne Road,Bellozanne Road,40741,66437,49.192962154,-2.1248338155
2345,Tunnell Street,Tunnell Street,42753,65877,49.187921063,-2.0972339235
2346,Grouville Arsenal W,Grouville Arsenal ,45477,65148,49.1813478329,-2.0598756226
2347,Brooklyn Street S,Brooklyn Street ,42599,65486,49.1844059696,-2.0993490447
2348,Apple Cottage,Apple Cottage,46497,71181,49.2355847018,-2.0457874262
2349,Archirondel N,Archirondel ,47943,68373,49.2103190982,-2.0259874829
2352,Archirondel S,Archirondel ,47956,68344,49.2100581711,-2.025809641
2353,I. J. Bathe Field S,I. J. Bathe Field ,45148,67673,49.2040547495,-2.0643559718
2354,Atlantic Hotel E,Atlantic Hotel ,33412,65761,49.1868488392,-2.2253732466
2356,Clos de la Mielle W,Clos de la Mielle ,37908,66575,49.1941998919,-2.163702009
2357,The Old Forge W,The Old Forge ,42240,71689,49.24018281,-2.1042389246
2358,Avalon Park E,Avalon Park ,44152,63227,49.1640850841,-2.0780695689
2359,The Powerhouse N,The Powerhouse ,41583,67218,49.1999830857,-2.1132788826
2362,Bagatelle Lane N,Bagatelle Lane ,43334,66011,49.1891230724,-2.0892625682
2363,Aubin Lane,Aubin Lane,43242,64945,49.1795383834,-2.090533258
2364,Bagot Manor Avenue W,Bagot Manor Avenue ,43468,65127,49.1811736438,-2.0874319116
2365,Marett Road E,Marett Road ,42426,64679,49.177150348,-2.1017269816
2367,Les Parquets,Les Parquets,45355,68237,49.209134,-2.061508
2368,Bay View Court,Bay View Court,40916,66321,49.1919188785,-2.122433159
2369,Five Mile Avenue S,Five Mile Avenue ,33035,70195,49.2267137987,-2.2306217232
2372,Rue des Fonds E,Rue des Fonds ,46546,65675,49.186076001,-2.045204302
2373,La Fosse S,La Fosse ,46695,70815,49.2322916295,-2.0430747297
2375,Chemin de Herupe S,Chemin de Herupe ,41437,70709,49.2313734034,-2.11526973
2376,Beaulieu School,Beaulieu School,42860,66024,49.1892423568,-2.0957650363
2378,Beaumont E,Beaumont ,38348,66848,49.1966559718,-2.1576663797
2379,The Poplars,The Poplars,33804,65426,49.1838406959,-2.2199906936
2382,Rue de Bechet N,Rue de Bechet ,41545,69980,49.2248182194,-2.1137896767
2383,Surville Cemetery S,Surville Cemetery ,41582,68864,49.2147834164,-2.1132861239
2385,Bel Royal Gardens,Bel Royal Gardens,39170,67018,49.1981862252,-2.1463884234
2386,Bel Royal Terrace,Bel Royal Terrace,39219,67017,49.1981772978,-2.1457160929
2387,Bel Royal School W,Bel Royal School ,38971,67184,49.1996785471,-2.1491193257
2389,Rue Militaire S,Rue Militaire ,41290,71612,49.2394931906,-2.1172851632
2392,aMaizin! Park N,aMaizin! Park ,35810,69764,49.2228636456,-2.1925195801
2393,Rue Militaire N,Rue Militaire ,41285,71623,49.2395921092,-2.1173537901
2394,Bellozanne Avenue,Bellozanne Avenue,40790,66409,49.1927103248,-2.1241616127
2395,Belvedere Hill,Belvedere Hill,43269,64973,49.1797900088,-2.0901627031
2396,Bethlehem Chapel W,Bethlehem Chapel ,37413,71117,49.2350382217,-2.170522606
2397,Biarritz Hotel W,Biarritz Hotel ,36113,65508,49.1845969824,-2.1883188912
2398,St Ouens Pond N,St Ouens Pond ,33449,68897,49.215047186,-2.2249167934
2423,Birches Avenue W,Birches Avenue ,43289,66790,49.196127861,-2.089873529
2425,Le Saie N,Le Saie ,46982,70938,49.2333943985,-2.03913196
2426,Blanches Pierres,Blanches Pierres,34368,72127,49.2440993508,-2.2123482519
2427,Daisy Cottage,Daisy Cottage,34593,72001,49.2429684329,-2.2092564712
2428,Sydney Crill Park W,Sydney Crill Park ,45993,63859,49.1697526657,-2.0528171903
2429,Bon Air Lane N,Bon Air Lane ,43472,66186,49.1906958579,-2.0873679072
2434,Bonne Nuit Bay E,Bonne Nuit Bay ,41014,72854,49.2506613206,-2.1210721735
2435,Sion Lodge,Sion Lodge,41487,69251,49.2182634342,-2.1145886216
